week,matchup,actual_winner,app_winner,is_correct,app_confidence,confidence_bucket,matchup_type,correct_player_matchups,total_player_matchups,player_accuracy,error_type,platform_winner,platform_correct,comparison_result,notes
1,jamal vs ibby,ibby,jamal,false,97.58,HIGH,DOMINANT,2,3,0.67,bad_miss,ibby,true,platform_win,"close game; tee higgins underperformed"
1,khaleel vs sufyan,sufyan,sufyan,true,71.72,MEDIUM,SLIGHT_EDGE,2,3,0.67,none,sufyan,true,both_correct,"missing kicker/defense impact"
1,yabzz vs ahmed,ahmed,yabzz,false,96.72,HIGH,DOMINANT,2,3,0.67,bad_miss,ahmed,true,platform_win,"josh allen boom game"
1,usayd vs ameer,ameer,ameer,true,58.01,LOW,EVEN,3,3,1.0,strong_hit,ameer,true,both_correct,"accurate projection"
1,bilal vs usama,usama,bilal,false,67.12,MEDIUM,SLIGHT_EDGE,0,3,0.0,close_miss,usama,true,platform_win,"rb2 and te underperformance"
1,ali vs am,ali,ali,true,91.19,HIGH,CLEAR_EDGE,2,3,0.67,strong_hit,ali,true,both_correct,"minor variance"
2,jamal vs am,jamal,am,false,80.05,HIGH,SLIGHT_EDGE,2,3,0.67,confidence_error,am,false,both_wrong,"boom/bust variance"
2,khaleel vs usayd,usayd,usayd,true,55.00,LOW,EVEN,2,3,0.67,none,khaleel,false,app_win,"kicker inflation"
2,ibby vs sufyan,ibby,sufyan,false,99.77,HIGH,DOMINANT,2,3,0.67,bad_miss,ibby,true,platform_win,"top players underperformed"
2,ameer vs ahmed,ameer,ameer,true,50.91,LOW,EVEN,1,3,0.33,confidence_error,ameer,true,both_correct,"defense impact"
2,yabzz vs bilal,bilal,yabzz,false,69.83,MEDIUM,SLIGHT_EDGE,0,2,0.0,bad_miss,bilal,true,platform_win,"injured player left in"
2,ali vs usama,ali,ali,true,78.57,MEDIUM,SLIGHT_EDGE,2,3,0.67,none,usama,false,app_win,"jt and davante big games"
3,jamal vs sufyan,sufyan,sufyan,true,90.34,HIGH,CLEAR_EDGE,3,3,1.0,strong_hit,jamal,false,app_win,"accurate analysis"
3,khaleel vs ahmed,ahmed,ahmed,true,61.95,MEDIUM,EVEN,1,3,0.33,close_miss,ahmed,true,both_correct,"team accuracy"
3,ibby vs usayd,usayd,usayd,true,99.52,HIGH,DOMINANT,1,3,0.33,none,usayd,true,both_correct,"strong team performance"
3,ali vs yabzz,ali,yabzz,false,56.30,LOW,EVEN,1,2,0.5,bad_miss,yabzz,false,both_wrong,"injuries in lineup"
3,bilal vs ameer,bilal,bilal,true,63.74,MEDIUM,SLIGHT_EDGE,0,3,0.0,close_miss,ameer,false,app_win,"defense + flex"
3,am vs usama,am,usama,false,74.72,MEDIUM,SLIGHT_EDGE,1,3,0.33,bad_miss,usama,true,platform_win,"wr2 underperformance"
4,jamal vs usayd,usayd,usayd,true,90.88,HIGH,CLEAR_EDGE,2,2,1.0,strong_hit,jamal,false,app_win,"accurate outcome"
4,khaleel vs bilal,khaleel,bilal,false,74.81,MEDIUM,SLIGHT_EDGE,1,3,0.33,bad_miss,khaleel,true,platform_win,"injury mid-game"
4,ibby vs ahmed,ahmed,ahmed,true,99.64,HIGH,DOMINANT,0,3,0.0,none,ahmed,true,both_correct,"dominant team"
4,yabzz vs usama,yabzz,yabzz,true,73.91,MEDIUM,SLIGHT_EDGE,1,3,0.33,close_miss,usama,false,app_win,"qb + kicker strong"
4,ali vs ameer,ali,ali,true,75.95,MEDIUM,SLIGHT_EDGE,2,3,0.67,none,ali,true,both_correct,"consistent"
4,am vs sufyan,am,sufyan,false,69.98,MEDIUM,SLIGHT_EDGE,2,3,0.67,bad_miss,sufyan,false,both_wrong,"elite performance swing"
